draw,task_a_t10_balanced_accuracy_delta,task_c_macro_f1_delta,task_c_brier_delta
238,0.004545454545,-0.04772773888,0.02102111863
239,0.1784098255,-0.06391526954,0.02837650708
240,0.0623655914,-0.05487425012,0.02520130494
241,0.04269293924,-0.06940075463,0.03001418105
242,0.05647545831,-0.06226040994,0.0238898726
243,0.1125792812,-0.0515419188,0.02316951819
244,0.05,-0.0399676461,0.01360908993
245,0.04578005115,-0.07590480314,0.02810246914
246,0.02954545455,-0.07399871883,0.02788845596
247,0.02267206478,-0.07344602711,0.02857262126
248,-0.02613636364,-0.04476971072,0.02104650926
249,-0.003555268261,-0.03229596036,0.01113498476
250,0.04523950325,-0.043132904,0.01799011835
251,0.09239130435,-0.06711490995,0.02209058115
252,0.02454169131,-0.06406746407,0.02083545997
253,0.001939237233,-0.06186794248,0.0241187578
254,0.1388888889,-0.05631148473,0.02241364391
255,0.02346938776,-0.04097914408,0.01027276003
256,0.01842275372,-0.0464794193,0.02046535864
257,0.04523950325,-0.04261189135,0.0180121955
258,0.005555555556,-0.0245553674,0.01320753358
259,0.07399577167,-0.06915402307,0.0270655315
260,0.1113636364,-0.04456477487,0.02207006017
261,0.013136289,-0.04796067952,0.01309955654
262,-0.06793478261,-0.05272822291,0.01870118136
263,0.04398976982,-0.052504149,0.03059660219
264,0.1610942249,-0.04563633805,0.008346756082
265,0.02976190476,-0.05536271606,0.029611417
266,0.08288043478,-0.05041684989,0.0212068377
267,-0.06342494715,-0.05298032474,0.01808485997
268,0.02678571429,-0.05831148264,0.01692596073
269,0.05008210181,-0.06046044905,0.02552526871
270,0.02386363636,-0.07342895633,0.02538355765
271,0.06770833333,-0.07779781921,0.0344051745
272,0.1101190476,-0.06893479341,0.02755010145
273,0.1358350951,-0.06091231854,0.02222786168
274,0.01330573625,-0.04823755453,0.01869211378
275,0.01022727273,-0.04983043998,0.02184294858
276,0.1435035553,-0.05957804831,0.02556605786
277,0.1101190476,-0.01853253013,0.01192623475
278,0.07854251012,-0.05399442781,0.02451745209
279,0.07956989247,-0.02898613652,0.01338424472
280,0.1003039514,-0.06844604234,0.02108167083
281,0.06111111111,-0.04142017193,0.01898657832
282,0.03273809524,-0.06041853275,0.02191512062
283,0.04934210526,-0.0397338099,0.01631230006
284,-0.01222826087,-0.03715386674,0.02272434565
285,-0.03191489362,-0.04614502558,0.01974279143
286,0.05555555556,-0.03190159033,0.0267242184
287,0.1946236559,-0.07107077651,0.03398727128
288,-0.04204545455,-0.04963647219,0.01603328092
289,0.1752717391,-0.04435973923,0.02474104964
290,-0.03370786517,-0.0522781045,0.02312267178
291,0,-0.05938386115,0.02432008343
292,0.2135416667,-0.06195083732,0.02301510644
293,0.01815856777,-0.06441305886,0.03506502239
294,-0.008602150538,-0.0640532342,0.02265917273
295,-0.01125319693,-0.04388842506,0.01977969907
296,-0.01477272727,-0.07522877066,0.02602605819
297,0.03119868637,-0.05982503453,0.01858424405
298,0.08295454545,-0.0756907714,0.02860382922
299,0.07346723044,-0.05866661678,0.02046918578
300,0.09090909091,-0.05400786433,0.02667024383
301,0.01636828645,-0.05521772871,0.02787091723
302,0.09650455927,-0.04141975353,0.02110730268
303,0.009461856889,-0.05033154147,0.02334110747
304,0.04269293924,-0.04995925694,0.02896329581
305,-0.07634408602,-0.07159490302,0.03291973643
306,-0.0328407225,-0.05447405794,0.02461496912
307,0.006882591093,-0.03665543457,0.01351300732
308,0.1611111111,-0.04041078405,0.02226926809
309,0.1329545455,-0.06368166856,0.01959680034
310,0.09619450317,-0.06722664799,0.03034181717
311,0.04187192118,-0.05759746532,0.02474796372
312,0.007687758723,-0.058209355,0.02581570197
313,0.1259609698,-0.03214979908,0.017328013
314,0.08888888889,-0.04651145403,0.0244677833
315,0.06666666667,-0.06884943881,0.02736410191
316,0.07159090909,-0.06157612891,0.01769671048
317,-0.02906976744,-0.04393494028,0.0164279029
318,0.09650455927,-0.06390526487,0.02223369237
319,0.02483598875,-0.05245379633,0.02300493301
320,0.07854251012,-0.04471221144,0.0202092106
321,0.07222222222,-0.05362593778,0.02575052639
322,0.04008097166,-0.04658535628,0.01946016233
323,0.07902735562,-0.04571496587,0.02284686233
324,0.1079545455,-0.05461603026,0.02203087972
325,0.03911205074,-0.03269567647,0.01042605407
326,-0.04255319149,-0.02893329411,0.0192908749
327,0.04451733833,-0.05348361842,0.02096540648
328,0.05454545455,-0.04120731039,0.02085949695
329,0.117781155,-0.02654788388,0.01384319562
330,-0.0311827957,-0.05930468428,0.01934063797
331,0.03135100194,-0.03191570265,0.01637508893
332,0.07727272727,-0.04104689561,0.01797487856
333,0.07777777778,-0.06772364403,0.01960842295
334,0.05,-0.05367398381,0.02979760071
335,0.03015966884,-0.0479643181,0.01688178427
336,0.013136289,-0.05136945624,0.02133545488
337,0.2555555556,-0.04406536865,0.01907329185
338,0.007389162562,-0.05162301244,0.01730737947
339,0.1657608696,-0.0756830622,0.02621024286
